Titel|Beschreibungstext|Link|Bedingung
Studis-online: BAföG|Das Forum bietet dir Informationen und Diskussionen rund um das Thema BAföG.|https://www.studis-online.de/Fragen-Brett/index.php?6|Wenn der User in der Anfrage BAföG oder Studienfinanzierung
Studis-online: Agrar- und Forstwissenschaften|Das Forum bietet dir Informationen und Diskussionen rund um den Fachbereich Agrar- und Forstwissenschaften.|https://www.studis-online.de/Fragen-Brett/list.php?92|Agrarwissenschaft oder Forstwissenschaft
Studis-online: Architektur / Bauingenieurwesen|Das Forum bietet dir Informationen und Diskussionen rund um die Fachbereiche Architektur  und Bauingenieurwesen|https://www.studis-online.de/Fragen-Brett/list.php?96|Architektur oder Bauingenieurwesen
Studis-online: Bio / Chemie|Das Forum bietet dir Informationen und Diskussionen rund um die Fachbereiche Bio und Chemie|https://www.studis-online.de/Fragen-Brett/list.php?104|Bio oder Chemie
Studis-online: BWL / VWL / Wirtschaft|Das Forum bietet dir Informationen und Diskussionen rund um die Fachbereiche BWL / VWL / Wirtschaft|https://www.studis-online.de/Fragen-Brett/list.php?93|BWL, VWL oder Wirtschaft
Studis-online: Elektrotechnik|Das Forum bietet dir Informationen und Diskussionen rund um den Fachbereich Elektrotechnik|https://www.studis-online.de/Fragen-Brett/list.php?97|Elektrotechnik
Studis-online: Geowissenschaften|Das Forum bietet dir Informationen und Diskussionen rund um den Fachbereich Geowissenschaften|https://www.studis-online.de/Fragen-Brett/list.php?112|Geowissenschaften
Studis-online: Gesellschafts- und Sozialwissenschaften|Das Forum bietet dir Informationen und Diskussionen rund um die Fachbereiche Gesellschafts- und Sozialwissenschaften|https://www.studis-online.de/Fragen-Brett/list.php?94|Gesellschaftswissenschaft oder Sozialwissenschaft
Studis-online: Ingenieurwissenschaften|Das Forum bietet dir Informationen und Diskussionen rund um den Fachbereich Ingenieurwissenschaft|https://www.studis-online.de/Fragen-Brett/list.php?95|Ingenieurwissenschaft
Studis-online: Jura / Rechtswissenschaften|Das Forum bietet dir Informationen und Diskussionen rund um den Fachbereich Jura / Rechtswissenschaften|https://www.studis-online.de/Fragen-Brett/list.php?99|Jura  oder Rechtswissenschaft
Studis-online: Kunst, Design, Gestaltung|Das Forum bietet dir Informationen und Diskussionen rund um die Fachbereiche Kunst, Design und Gestaltung|https://www.studis-online.de/Fragen-Brett/list.php?100|Kunst, Design, oder Gestaltung
Studis-online: Lehramt|Das Forum bietet dir Informationen und Diskussionen rund um das Lehramtsstudium |https://www.studis-online.de/Fragen-Brett/list.php?101|Lehramt
Studis-online: Maschinenbau|Das Forum bietet dir Informationen und Diskussionen rund um den Fachbereich Maschinenbau|https://www.studis-online.de/Fragen-Brett/list.php?98|Maschinenbau
Studis-online: Mathematik / Informatik|Das Forum bietet dir Informationen und Diskussionen rund um die Fachbereiche Mathematik und Informatik|https://www.studis-online.de/Fragen-Brett/list.php?105|Mathematik oder Informatik
Studis-online: Medizin / Pharmazie / Gesundheitswesen|Das Forum bietet dir Informationen und Diskussionen rund um die Fachbereiche Medizin / Pharmazie / Gesundheitswesen|https://www.studis-online.de/Fragen-Brett/list.php?102|Medizin, Pharmazie oder Gesundheitswesen
Studis-online: Naturwissenschaften|Das Forum bietet dir Informationen und Diskussionen rund um den Fachbereich Naturwissenschaften|https://www.studis-online.de/Fragen-Brett/list.php?103|Naturwissenschaften
Studis-online: Physik|Das Forum bietet dir Informationen und Diskussionen rund um den Fachbereich Physik|https://www.studis-online.de/Fragen-Brett/list.php?120|Physik
Studis-online: Sprach- und Kulturwissenschaften|Das Forum bietet dir Informationen und Diskussionen rund um die Fachbereiche Sprach- und Kulturwissenschaften|https://www.studis-online.de/Fragen-Brett/list.php?106|Sprachwissenschaften oder Kulturwissenschaften
Studis-online: Wirtschaftsingenieurwesen|Das Forum bietet dir Informationen und Diskussionen rund um den Fachbereich Wirtschaftsingenieurwesen|https://www.studis-online.de/Fragen-Brett/list.php?121|Wirtschaftsingenieurwesen
Studis-online: Allgemeines zum Studium|Das Forum bietet dir Informationen und Diskussionen rund um allgemeine Themen zum Studium|https://www.studis-online.de/Fragen-Brett/list.php?3|Studium oder studieren
Studis-online: Auslandsstudium|Das Forum bietet dir Informationen und Diskussionen rund ein Auslandsstudium|https://www.studis-online.de/Fragen-Brett/list.php?116|Auslandsstudium, Studieren im Ausland, oder Auslandssemester
Studis-online: Bildungs- und Hochschulpolitik|Das Forum bietet dir Informationen und Diskussionen rund um die Bildungs- und Hochschulpolitik|https://www.studis-online.de/Fragen-Brett/list.php?12|Bildungspolitik oder Hochschulpolitik
Studis-online: Studienfinanzierung|Das Forum bietet dir Informationen und Diskussionen zu Möglichkeiten der Studienfinanzierung|https://www.studis-online.de/Fragen-Brett/list.php?4|Studienfinanzierung oder BAföG
Uni24: Rund ums Studium |Das Forum bietet dir allgemeine Informationen und Diskussionen rund um dein Studium|https://www.uni24.de/forum/studium/|Studienplanung, Studentenleben, Exmatrikulation, Hochschulwechsel oder Studium allgemein
Uni24: Karriere & Praktikum |Das Forum bietet dir Informationen und Diskussionen rund um Beruf & Karriere & Praktika|https://www.uni24.de/forum/karriere-praktikum/|Beruf, Job, Karriere oder Praktikum
Uni24: BAföG & Finanzen|Das Forum bietet dir Informationen und Diskussionen zu Möglichkeiten der Studienfinanzierung|https://www.uni24.de/forum/bafoeg-finanzen/|Studienfinanzierung, Stipendium oder BAföG
Uni24: Architektur |Das Forum bietet dir Informationen und Diskussionen rund um den Fachbereich Architektur|https://www.uni24.de/forum/architektur/|Architektur
Uni24: BWL / VWL|Das Forum bietet dir Informationen und Diskussionen rund um die Fachbereiche BWL und VWL|https://www.uni24.de/forum/bwl-vwl/|BWL, VWL, WiWi
Uni24: Chemie|Das Forum bietet dir Informationen und Diskussionen rund um den Fachbereich Chemie|https://www.uni24.de/forum/chemie/|Chemie
Uni24: Elektrotechnik|Das Forum bietet dir Informationen und Diskussionen rund um den Fachbereich Elektrotechnik|https://www.uni24.de/forum/elektrotechnik/|Elektrotechnik
Uni24: Eventmanagement|Das Forum bietet dir Informationen und Diskussionen rund um den Fachbereich Eventmanagement|https://www.uni24.de/forum/eventmanagement/|Eventmanagement
Uni24: Germanistik |Das Forum bietet dir Informationen und Diskussionen rund um den Fachbereich Germanistik|https://www.uni24.de/forum/germanistik/|Germanistik
Uni24: Geschichte|Das Forum bietet dir Informationen und Diskussionen rund um den Fachbereich Geschichte|https://www.uni24.de/forum/geschichte/|Geschichte
Uni24: Informatik|Das Forum bietet dir Informationen und Diskussionen rund um den Fachbereich Informatik|https://www.uni24.de/forum/informatik/|Informatik
Uni24: Jura|Das Forum bietet dir Informationen und Diskussionen rund um den Fachbereich Jura|https://www.uni24.de/forum/jura/|Jura oder Rechtswissenschaften
Uni24: Journalismus|Das Forum bietet dir Informationen und Diskussionen rund um den Fachbereich Journalismus|https://www.uni24.de/forum/journalismus/|Journalismus
Uni24: Kunst / Design |Das Forum bietet dir Informationen und Diskussionen rund um die Fachbereiche Kunst / Design|https://www.uni24.de/forum/kunst-design/|Kunst oder Design
Uni24: Lehramt|Das Forum bietet dir Informationen und Diskussionen rund um das Lehramtsstudium|https://www.uni24.de/forum/lehramt/|Lehramt
Uni24: Maschinenbau |Das Forum bietet dir Informationen und Diskussionen rund um den Fachbereich Maschinenbau|https://www.uni24.de/forum/maschinenbau/|Maschinenbau
Uni24: Mathematik |Das Forum bietet dir Informationen und Diskussionen rund um den Fachbereich Mathematik|https://www.uni24.de/forum/mathematik/|Mathematik
Uni24: Medien & Kommunikation|Das Forum bietet dir Informationen und Diskussionen rund um die Fachbereiche Medien & Kommunikation|https://www.uni24.de/forum/medien-kommunikation/|Medien oder Kommunikation
Uni24: Medizin|Das Forum bietet dir Informationen und Diskussionen rund um den Fachbereich Medizin|https://www.uni24.de/forum/medizin/|Medizin
Uni24: Musik|Das Forum bietet dir Informationen und Diskussionen rund um den Fachbereich Musik|https://www.uni24.de/forum/musik/|Musik
Uni24: Meteorologie|Das Forum bietet dir Informationen und Diskussionen rund um den Fachbereich Meteorologie|https://www.uni24.de/forum/meteorologie/|Meteorologie
Uni24: Pflege|Das Forum bietet dir Informationen und Diskussionen rund um den Fachbereich Pflege|https://www.uni24.de/forum/pflege/|Pflege
Uni24: Philologie|Das Forum bietet dir Informationen und Diskussionen rund um den Fachbereich Philologie|https://www.uni24.de/forum/philologie/|Philologie, Sprachwissenschaft, Literaturwissenschaft oder Kulturwissenschaft
Uni24: Philosophie |Das Forum bietet dir Informationen und Diskussionen rund um den Fachbereich Philosophie|https://www.uni24.de/forum/philosophie/|Philosophie
Uni24: Physik|Das Forum bietet dir Informationen und Diskussionen rund um den Fachbereich Physik|https://www.uni24.de/forum/physik/|Physik
Uni24: Politikwissenschaft |Das Forum bietet dir Informationen und Diskussionen rund um den Fachbereich Politikwissenschaft|https://www.uni24.de/forum/politikwissenschaft/|Politikwissenschaft
Uni24: Psychologie|Das Forum bietet dir Informationen und Diskussionen rund um den Fachbereich Psychologie|https://www.uni24.de/forum/psychologie/|Psychologie
Uni24: Sport|Das Forum bietet dir Informationen und Diskussionen rund um den Fachbereich Sport|https://www.uni24.de/forum/sport/|Sport
Uni24: Soziologie|Das Forum bietet dir Informationen und Diskussionen rund um den Fachbereich Soziologie|https://www.uni24.de/forum/soziologie/|Soziologie
Uni24: Theologie|Das Forum bietet dir Informationen und Diskussionen rund um den Fachbereich Theologie|https://www.uni24.de/forum/theologie/|Theologie
Uni24: Tourismus|Das Forum bietet dir Informationen und Diskussionen rund um den Fachbereich Tourismus|https://www.uni24.de/forum/tourismus/|Tourismus
Uni24: Veterinärmedizin|Das Forum bietet dir Informationen und Diskussionen rund um den Fachbereich Veterinärmedizin|https://www.uni24.de/forum/veterinaermedizin/|Veterinärmedizin
Uni24: Politik &  Gesellschaft|Das Forum bietet dir Informationen und Diskussionen rund um die Fachbereiche Politik &  Gesellschaft|https://www.uni24.de/forum/politik-gesellschaft/|Politik oder Gesellschaft
